Titre;Type de dossier;Date initiale;URL du dossier;État du dossier;Décision du CC;Date de la décision;Date de promulgation;Numéro de la loi;Thèmes
projet de loi autorisant la ratification de l'accord de partenariat et de coopération entre l'Union européenne et ses Etats membres, d'une part, et la République d'Irak, d'autre part;projet de loi;28/08/2013;http://www.senat.fr/dossier-legislatif/pjl14-117.html;promulgué;;;03/02/2015;2015-106;Affaires étrangères et coopération, Traités et conventions, Union européenne
projet de loi relatif à la délimitation des régions, aux élections régionales et départementales et modifiant le calendrier électoral;projet de loi;18/06/2014;http://www.senat.fr/dossier-legislatif/pjl13-635.html;promulgué;partiellement conforme;15/01/2015;16/01/2015;2015-29;Collectivités territoriales, Pouvoirs publics et Constitution
projet de loi habilitant le Gouvernement à prendre les mesures relevant du domaine de la loi nécessaires pour assurer dans le droit interne le respect des principes du code mondial antidopage;projet de loi;02/07/2014;http://www.senat.fr/dossier-legislatif/pjl13-677.html;promulgué;;;30/12/2014;2014-1663;Sports
projet de loi autorisant la ratification de l'accord établissant une association entre l'Union européenne et ses Etats membres d'une part, et l'Amérique centrale d'autre part;projet de loi;02/07/2014;http://www.senat.fr/dossier-legislatif/pjl13-806.html;promulgué;;;30/12/2014;2014-1754;Affaires étrangères et coopération, Union européenne
projet de loi portant diverses dispositions d'adaptation au droit de l'Union européenne en matière économique et financière;projet de loi;16/07/2014;http://www.senat.fr/dossier-legislatif/pjl13-808.html;promulgué;;;30/12/2014;2014-1662;Économie et finances, fiscalité, Union européenne
projet de loi autorisant l'approbation de l'accord interne entre les représentants des Gouvernements des Etats membres de l'Union européenne relatif au 11ème fonds européen de développement;projet de loi;16/07/2014;http://www.senat.fr/dossier-legislatif/pjl14-118.html;promulgué;;;30/12/2014;2014-1755;Affaires étrangères et coopération, Outre-mer, Traités et conventions
projet de loi autorisant la ratification de l'amendement au protocole de Kyoto du 11 décembre 1997;projet de loi;10/04/2014;http://www.senat.fr/dossier-legislatif/pjl14-138.html;promulgué;;;30/12/2014;2014-1753;Affaires étrangères et coopération, Environnement
projet de loi de finances pour 2015;projet de loi de finances;01/10/2014;http://www.senat.fr/dossier-legislatif/pjlf2015.html;promulgué;partiellement conforme;29/12/2014;29/12/2014;2014-1654;Budget, Économie et finances, fiscalité
projet de loi de programmation des finances publiques pour les années 2014 à 2019;projet de loi;01/10/2014;http://www.senat.fr/dossier-legislatif/pjl14-045.html;promulgué;;;29/12/2014;2014-1653;Budget, Économie et finances, fiscalité
projet de loi de finances rectificative pour 2014;projet de loi de finances rectificative;12/11/2014;http://www.senat.fr/dossier-legislatif/pjl14-155.html;promulgué;partiellement conforme;29/12/2014;29/12/2014;2014-1655;Budget, Économie et finances, fiscalité
