Session;Numéro de texte;Date de dépôt;Auteurs;Titre;Type de dossier;URL du dossier;État du dossier;Décision du CC;Date de la décision;Date de promulgation;Numéro de la loi;Thèmes
1977;97;"23/11/1977";"François DUBANCHET, Jean-Marie BOULOUX, Louis MARTIN, Jean PRORIOL, Pierre PERRIN";"proposition de loi relative à l'imposition des plus-values immobilières réalisées à l'occasion des cessions consenties à l'amiable au profit des collectivités publiques";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-097.html";"caduc";"";"";"";"";"Collectivités territoriales"
1977;99;"24/11/1977";"Auguste CHUPIN, Charles BOSSON, Pierre SCHIELE, Jean-Louis VIGIER, Louis JUNG, Jean-Marie RAUSCH, Jacques CHAUMONT, Pierre VALLON, François DUBANCHET, René BALLAYER, Gilbert DEVEZE, Henri GOETSCHY, André BOHL, Jacques HABERT, Jacques PELLETIER";"proposition de loi tendant à créer un fonds d'amortissement pour alléger les charges des collectivités locales en matière d'équipement sportif et socio-éducatif";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-099.html";"caduc";"";"";"";"";"Budget, Collectivités territoriales, Économie et finances, fiscalité, Sports"
1977;104;"30/11/1977";"Jean COLIN, Pierre CECCALDI-PAVARD";"proposition de loi tendant à modifier certaines circonscriptions législatives pour les rendre conformes aux mesures d'application de la loi du 16 juillet 1971 concernant les fusions de communes";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-104.html";"promulgué";"";"";"23/12/1977";"77-1409";"Collectivités territoriales"
1977;105;"01/12/1977";"Henri CAILLAVET, Jean MERCIER";"proposition de loi tendant à compléter l'article 18 de la loi du 10 mars 1927 relative à l'extradition des étrangers";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-105.html";"caduc";"";"";"";"";"Affaires étrangères et coopération"
1977;107;"01/12/1977";"Jean COLIN";"proposition de loi tendant à assouplir les dispositions de la loi du 10 juillet 1970 tendant à faciliter la création d'agglomérations nouvelles";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-107.html";"caduc";"";"";"";"";"Aménagement du territoire"
1977;109;"02/12/1977";"Bernard LEGRAND, Jean BERANGER, Pierre SCHIELE";"proposition de loi tendant à favoriser l'exercice des mandats des membres des conseils minicipaux, des conseils généraux et des établissements publics régionaux";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-109.html";"caduc";"";"";"";"";"Collectivités territoriales"
1977;110;"02/12/1977";"Michel CHAUTY, Robert LAUCOURNET";"proposition de loi tendant à modifier les dispositions de l'article L. 124-1 du Code de l'urbanisme, relatives aux mesures transitoires applicables aux projets d'aménagement et aux plans d'urbanisme";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-110.html";"promulgué";"";"";"27/12/1977";"77-1420";"Aménagement du territoire"
1977;114;"02/12/1977";"Michel GIRAUD, Charles PASQUA";"proposition de loi tendant à améliorer le statut de l'élu local";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-114.html";"caduc";"";"";"";"";"Collectivités territoriales"
1977;118;"05/12/1977";"Marcel LUCOTTE";"proposition de loi sur la régularisation de la situation des logements construits par les sociétés coopératives d'HLM de location-coopérative";"proposition de loi";"http://www.senat.fr/dossier-legislatif/s77780118.html";"promulgué";"";"";"12/07/1978";"78-734";""
1977;154;"13/12/1977";"Marcel ROSETTE, Charles LEDERMAN, Jean OOGHE";"proposition de loi tendant à accorder aux élus locaux et régionaux les droits et les moyens de remplir leur mandat";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-154.html";"caduc";"";"";"";"";"Collectivités territoriales"
